company,city,state,website,fit_tier,why_fit,contact_path,status,notes
Associa Arizona,Phoenix,AZ,https://www.associaarizona.com/,C,Largest community management company in the industry,Corporate procurement likely,not_contacted,Deprioritize - enterprise sales cycle
Associa Carolinas,Charlotte,NC,https://www.associacarolinas.com/,C,Greater Charlotte and Raleigh-Durham,Corporate procurement likely,not_contacted,Deprioritize - enterprise sales cycle
Associa Colorado,Denver,CO,https://www.associacolorado.com/,C,Denver Fort Collins Colorado Springs Front Range,Corporate procurement likely,not_contacted,Deprioritize - enterprise sales cycle
FirstService Residential,Phoenix,AZ,https://www.fsresidential.com/arizona/overview/phoenix-hoa-management/,C,North America's leading property management company,Corporate procurement likely,not_contacted,Deprioritize - enterprise sales cycle
Inframark Community Management,Tampa,FL,https://www.inframark.com/community-management/,C,Serves Tampa Orlando and Jacksonville,Corporate procurement likely,not_contacted,Deprioritize - enterprise sales cycle
Silverleaf Management Group,Atlanta,GA,https://silverleafmanagement.com/,A,HOA management services across Georgia,Find principal on About page,not_contacted,Needs a specific detail from their site before sending
Access Management Group,Atlanta,GA,https://accessmgt.com/,A,Condominium and HOA management reputation since the 1970s,Find principal on About page,not_contacted,50+ years in the industry - strong longevity hook
Ocean Blue Community Management,Tampa,FL,https://www.oceanbluecommunities.com/,A,Family owned and operated Tampa community management,Find principal on About page,not_contacted,Explicitly family owned - ideal ICP
Wise Property Management,St. Petersburg,FL,https://wisepropertymanagement.com/,A,Locally owned serving Tampa Bay associations for 35+ years,Find principal on About page,not_contacted,Long tenure and local ownership
SMG,Las Vegas,NV,https://smghoa.com/,A,Locally owned and operated 25+ years serving Las Vegas Valley associations,Find principal on About page,not_contacted,Publicly positions against large national managers - strong hook
Desert Living,Henderson,NV,https://desertlivinginc.com/,A,Family owned founded October 2002 managing 28 communities HOA-only no conflicts,Lisa McKenzie President and CEO per their site,not_contacted,STRONGEST LEAD - named principal exact portfolio count explicit independence
Las Vegas Community Management Group,Las Vegas,NV,https://lasvegascommunitymanagementgroup.com/,A,Las Vegas community association management,Find principal on About page,not_contacted,Needs a specific detail from their site before sending
